Iteration; Energy; Damage
609;42.050.880;20.000.000
610;41.950.882;20.000.000
611;41.850.883;20.000.000
612;41.750.885;20.000.000
613;41.650.887;20.000.000
614;41.550.888;20.000.000
615;41.450.890;20.000.000
616;41.350.891;20.000.000
617;41.250.893;20.000.000
618;41.150.894;20.000.000
619;41.050.896;20.000.000
620;40.950.897;20.000.000
621;40.850.899;20.000.000
622;40.750.900;20.000.000
623;40.650.902;20.000.000
624;40.550.903;20.000.000
625;40.450.905;20.000.000
626;40.350.906;20.000.000
627;40.250.908;20.000.000
628;40.150.909;20.000.000
629;40.050.911;20.000.000
630;39.950.912;20.000.000
631;39.850.914;20.000.000
632;39.750.916;20.000.000
633;39.650.917;20.000.000
634;39.550.919;20.000.000
635;39.450.920;20.000.000
636;39.350.922;20.000.000
637;39.250.923;20.000.000
638;39.150.925;20.000.000
639;39.050.926;20.000.000
640;38.950.928;20.000.000
641;38.850.929;20.000.000
642;38.750.931;20.000.000
643;38.650.932;20.000.000
644;38.550.934;20.000.000
645;38.450.935;20.000.000
646;38.350.937;20.000.000
647;38.250.938;20.000.000
648;38.150.940;20.000.000
649;38.050.941;20.000.000
650;37.950.943;20.000.000
651;37.850.945;20.000.000
652;37.750.946;20.000.000
653;37.650.948;20.000.000
654;37.550.949;20.000.000
655;37.450.951;20.000.000
656;37.350.952;20.000.000
657;37.250.954;20.000.000
658;37.150.955;20.000.000
659;37.050.957;20.000.000
660;36.950.958;20.000.000
661;36.850.960;20.000.000
662;36.750.961;25.000.000
663;36.650.963;25.000.000
664;36.550.964;30.000.000
665;36.450.966;30.000.000
666;36.350.967;30.000.000
667;36.250.969;30.000.000
668;36.150.970;30.000.000
669;36.050.972;30.000.000
670;35.950.974;30.000.000
671;35.850.975;30.000.000
672;35.750.977;30.000.000
673;35.650.978;30.000.000
674;35.550.980;30.000.000
675;35.450.981;30.000.000
676;35.350.983;30.000.000
677;35.250.984;30.000.000
678;35.150.986;30.000.000
679;35.050.987;30.000.000
680;34.950.989;30.000.000
681;34.850.990;30.000.000
682;34.750.992;30.000.000
683;34.650.993;30.000.000
684;34.550.995;30.000.000
685;34.450.996;30.000.000
686;34.350.998;30.000.000
687;34.250.999;30.000.000
688;34.151.001;30.000.000
689;34.051.003;30.000.000
690;33.951.004;30.000.000
691;33.851.006;30.000.000
692;33.751.007;30.000.000
693;33.651.009;30.000.000
694;33.551.010;30.000.000
695;33.451.012;30.000.000
696;33.351.013;30.000.000
697;33.251.015;30.000.000
698;33.151.016;30.000.000
699;33.051.018;30.000.000
700;32.951.019;30.000.000
701;32.851.021;30.000.000
702;32.751.022;30.000.000
703;32.651.024;30.000.000
704;32.551.025;30.000.000
705;32.451.027;30.000.000
706;32.351.028;30.000.000
707;32.251.030;30.000.000
708;32.151.031;30.000.000
709;32.051.033;30.000.000
710;31.951.033;30.000.000
711;31.851.032;30.000.000
712;31.751.032;30.000.000
713;31.651.031;30.000.000
714;31.551.031;30.000.000
